#Position (bp)	insert size	chromosomes
2.1828951285E9	262.22058823529414
2.1906496405E9	259.71014492753625
2.197231538E9	264.22285714285715
2.201108794E9	0.0
2.2061586645E9	0.0
2.2139131765E9	0.0
2.2216676885E9	275.28620689655173
2.2294222005E9	244.47619047619048
2.2371767125E9	258.8233333333333
2.2449312245E9	258.07916666666665
2.2526857365E9	255.56346749226006
2.2604402485E9	266.63496932515335
2.2681947605E9	256.10762331838566
2.2759492725E9	249.6013667425968
2.2837037845E9	244.26341463414633
2.2914582965E9	257.7237442922374
2.2992128085E9	418.3200398219724
2.305187892E9	254.83590566736635
2.309065148E9	0.0
2.3147218325E9	0.0
2.3224763445E9	0.0
2.3302308565E9	246.37026239067055
2.3379853685E9	256.84615384615387
2.3457398805E9	265.60632183908046
2.3534943925E9	267.2071960297767
2.3612489045E9	272.44525547445255
2.3690034165E9	261.3961038961039
2.3767579285E9	257.4359688195991
2.3845124405E9	257.3777335984095
2.3922669525E9	247.55228758169935
2.4000214645E9	255.62503932054105
2.406857916E9	265.75714285714287
2.410735172E9	263.85616438356163
2.4155304885E9	259.6219512195122
2.4232850005E9	250.05513784461152
2.4310395125E9	249.67846607669617
2.4387940245E9	256.87891440501045
2.4465485365E9	253.1987951807229
2.4543030485E9	314.2262895174709
2.4620575605E9	258.8938053097345
2.4698120725E9	258.20923076923077
2.4775665845E9	260.34025974025974
2.4853210965E9	267.2455516014235
2.4930756085E9	251.80936995153473
2.4985623645E9	260.8169934640523
2.5024396205E9	269.558024691358
2.5085846325E9	251.38212921092298
2.5163391445E9	261.43080357142856
2.5240936565E9	66569.6877394636
2.5318481685E9	273.7939233817701
2.5396026805E9	258.51371752068513
2.5473571925E9	1187.7435114503817
2.5551117045E9	39240.90531177829
2.5628662165E9	267.4593495934959
2.5706207285E9	265.56259204712813
2.5779325295E9	256.9204081632653
2.5818097855E9	244.5211267605634
2.5861297525E9	271.1061224489796
2.5938842645E9	270.14330218068534
2.6016387765E9	259.71355498721226
2.6093932885E9	241.4884792626728
2.6171478005E9	274.40084388185653
2.6249023125E9	252.94011976047904
2.6326568245E9	277.6278348133232
2.6404113365E9	248.46840148698885
2.6481658485E9	257.9710144927536
2.6557437135E9	258.3975
2.6596209695E9	301.5357142857143
2.6636748725E9	252.80088143920236
2.6714293845E9	268.1280227596017
2.6791838965E9	251.97108843537416
2.6869384085E9	235.32751091703057
2.6946929205E9	256.32956685499056
2.7024474325E9	264.77369165487977
2.7102019445E9	248.95473833097594
2.716326253E9	268.27272727272725
2.720203509E9	260.0180995475113
2.7257109685E9	261.1617161716172
2.7334654805E9	268.21666666666664
2.7412199925E9	261.1764705882353
2.7489745045E9	258.24870466321244
