#Position (bp)	mapping quality
2.2294222005E9	0.0
2.2371767125E9	0.0
2.2449312245E9	0.0
2.2526857365E9	0.0
2.2604402485E9	0.0
2.2681947605E9	0.0
2.2759492725E9	0.0
2.2837037845E9	0.0
2.2914582965E9	0.0
2.2992128085E9	59.98930526157403
2.305187892E9	59.98623451314812
2.309065148E9	0.0
2.3147218325E9	0.0
2.3224763445E9	0.0
2.3302308565E9	0.0
2.3379853685E9	0.0
2.3457398805E9	0.0
2.3534943925E9	0.0
2.3612489045E9	0.0
2.3690034165E9	0.0
2.3767579285E9	59.95412243278103
2.3845124405E9	0.0
2.3922669525E9	0.0
2.4000214645E9	59.948994965091096
2.406857916E9	0.0
2.410735172E9	0.0
2.4155304885E9	0.0
2.4232850005E9	0.0
2.4310395125E9	0.0
2.4387940245E9	0.0
2.4465485365E9	0.0
2.4543030485E9	0.0
2.4620575605E9	0.0
2.4698120725E9	0.0
2.4775665845E9	0.0
2.4853210965E9	0.0
2.4930756085E9	0.0
2.4985623645E9	0.0
2.5024396205E9	0.0
2.5085846325E9	59.974307343098666
2.5163391445E9	0.0
2.5240936565E9	0.0
2.5318481685E9	0.0
2.5396026805E9	59.98569954443565
2.5473571925E9	0.0
2.5551117045E9	0.0
2.5628662165E9	0.0
2.5706207285E9	59.97743614428833
2.5779325295E9	0.0
2.5818097855E9	0.0
2.5861297525E9	0.0
2.5938842645E9	0.0
2.6016387765E9	0.0
2.6093932885E9	0.0
2.6171478005E9	0.0
2.6249023125E9	0.0
2.6326568245E9	59.98869258347923
2.6404113365E9	0.0
2.6481658485E9	0.0
2.6557437135E9	0.0
2.6596209695E9	0.0
2.6636748725E9	59.96469037136175
2.6714293845E9	0.0
2.6791838965E9	0.0
2.6869384085E9	0.0
2.6946929205E9	0.0
2.7024474325E9	0.0
2.7102019445E9	0.0
2.716326253E9	0.0
2.720203509E9	0.0
2.7257109685E9	0.0
2.7334654805E9	0.0
2.7412199925E9	0.0
2.7489745045E9	0.0
