#Position (bp)	insert size	chromosomes
1.1825630805E9	85.5	2481737.5833333335
1.1903175925E9	125.0	0.0
1.1980721045E9	364.0	0.0
1.2058266165E9	142.6218487394958	2481737.5833333335
1.2135811285E9	143.21917808219177	0.0
1.2213356405E9	201.0	0.0
1.2290901525E9	130.90714285714284	2481737.5833333335
1.233312218E9	182.0	0.0
1.237189474E9	250.27777777777777	0.0
1.2445991765E9	242.66666666666666	2481737.5833333335
1.2523536885E9	0.0	0.0
1.2601082005E9	0.0	0.0
1.2678627125E9	118.46666666666667	2481737.5833333335
1.2756172245E9	238.44444444444446	0.0
1.2833717365E9	147.04025423728814	0.0
1.2911262485E9	211.28855887255645	2481737.5833333335
1.2988807605E9	215.7027027027027	0.0
1.3066352725E9	222.41666666666666	0.0
1.3143897845E9	0.0	2481737.5833333335
1.3221442965E9	177.0	0.0
1.3298988085E9	290.0	0.0
1.3376533205E9	121.75767918088737	2481737.5833333335
1.3454078325E9	235.27777777777777	0.0
1.3531623445E9	146.0356991075223	0.0
1.3609168565E9	204.5243262369523	2481737.5833333335
1.3686713685E9	279.7587412587413	0.0
1.3764258805E9	132.45817875210793	0.0
1.3841803925E9	148.17908309455586	2481737.5833333335
1.3904266695E9	245.9047619047619	0.0
1.3943039255E9	162.0	0.0
1.3996894165E9	157.5	2481737.5833333335
1.4074439285E9	198.0	0.0
1.4151984405E9	217.0	0.0
1.4229529525E9	300.46459627329193	2481737.5833333335
1.4307074645E9	148.51427558077674	0.0
1.4384619765E9	118.0	0.0
1.4462164885E9	155.0	2481737.5833333335
1.4539710005E9	0.0	0.0
1.4617255125E9	220.0	0.0
1.4694800245E9	158.0	2481737.5833333335
1.4772345365E9	24.0	0.0
1.4849890485E9	159.0	0.0
1.4927435605E9	148.0	2481737.5833333335
1.5004980725E9	144.32758620689654	0.0
1.5082525845E9	200.0	0.0
1.5160070965E9	211.5	2481737.5833333335
1.5237616085E9	167.875	0.0
1.5315161205E9	262.42857142857144	0.0
